Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
A Vala,https://www.espncricinfo.com/cricketers/assad-vala-25056,2021-2021,3,3,-,80,56,26.66,126.98,-,1,-
LV van Beek,https://www.espncricinfo.com/cricketers/logan-van-beek-440522,2021-2021,2,2,1,13,11,13.00,100.00,-,-,-
HE van der Dussen,https://www.espncricinfo.com/cricketers/rassie-van-der-dussen-337790,2021-2021,5,5,2,177,94*,59.00,116.44,-,1,-
T van der Gugten,https://www.espncricinfo.com/cricketers/timm-van-der-gugten-333782,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
RE van der Merwe,https://www.espncricinfo.com/cricketers/roelof-van-der-merwe-47850,2021-2021,3,3,-,6,6,2.00,75.00,-,-,2
M van Lingen,https://www.espncricinfo.com/cricketers/michael-van-lingen-833777,2021-2021,7,5,-,72,25,14.40,97.29,-,-,-
PA van Meekeren,https://www.espncricinfo.com/cricketers/paul-van-meekeren-348109,2021-2021,1,1,-,-,-,0.00,0.00,-,-,1
N Vanua,https://www.espncricinfo.com/cricketers/norman-vanua-524253,2021-2021,3,3,-,48,47,16.00,117.07,-,-,1
CV Varun,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375,2021-2021,3,-,-,-,-,0.00,0.00,-,-,-
MS Wade,https://www.espncricinfo.com/cricketers/matthew-wade-230193,2021-2021,7,3,2,74,41*,74.00,164.44,-,-,-
CD Wallace,https://www.espncricinfo.com/cricketers/craig-wallace-414971,2021-2021,1,1,-,4,4,4.00,30.76,-,-,-
HR Walsh,https://www.espncricinfo.com/cricketers/hayden-walsh-443263,2021-2021,2,1,-,-,-,0.00,0.00,-,-,1
DA Warner,https://www.espncricinfo.com/cricketers/david-warner-219889,2021-2021,7,7,1,289,89*,48.16,146.70,-,3,-
MRJ Watt,https://www.espncricinfo.com/cricketers/mark-watt-659081,2021-2021,8,6,1,42,22,8.40,97.67,-,-,1
BTJ Wheal,https://www.espncricinfo.com/cricketers/brad-wheal-807535,2021-2021,8,3,2,3,2*,3.00,50.00,-,-,1
B White,https://www.espncricinfo.com/cricketers/ben-white-928059,2021-2021,1,-,-,-,-,0.00,0.00,-,-,-
D Wiese,https://www.espncricinfo.com/cricketers/david-wiese-221140,2021-2021,8,8,3,227,66*,45.40,127.52,-,1,-
